water_depth_m,topsides_weight_t,num_wells,production_kbopd,development_years,facility_type_code,CAPEX_MMUSD
909.3,,5,172.4,4.8,3,1537.73
1901.9,36804.0,26,61.8,7.1,4,3181.38
65.6,30202.0,18,168.1,6.4,2,2355.45
316.7,23919.0,6,104.5,6.7,4,1616.06
143.6,16660.0,37,166.3,5.9,4,2332.56
130.6,39572.0,13,35.6,3.1,1,1338.5
2143.0,18146.0,28,167.9,5.3,2,4975.73
1768.0,36894.0,5,249.9,7.9,2,3259.62
1201.2,20210.0,13,21.6,7.6,2,2467.03
271.7,17461.0,17,244.5,2.3,4,2700.97
1244.3,21250.0,32,107.7,3.0,3,2236.84
1199.5,,29,219.0,2.8,2,3198.0
457.8,33844.0,3,197.8,6.4,4,2031.52
1101.6,23020.0,34,146.1,6.9,1,2773.34
1014.3,11064.0,27,187.2,3.3,3,2439.34
1551.1,40561.0,13,220.8,5.0,1,2264.42
1598.7,17768.0,33,107.0,7.0,3,3305.36
141.9,24825.0,6,88.5,6.4,4,1534.92
955.3,40866.0,24,170.2,5.3,0,3425.72
1575.9,28391.0,19,203.9,5.5,3,3802.41
,5967.0,16,192.9,5.1,1,3422.47
2145.5,42341.0,28,201.5,3.8,4,4502.17
1657.0,28545.0,33,114.5,5.4,3,3279.58
432.4,,13,206.3,6.1,0,1878.18
204.3,6956.0,25,38.9,7.2,0,956.83
,35896.0,36,140.7,5.8,2,2362.64
95.5,28207.0,27,11.4,6.6,2,1280.07
1476.9,24379.0,38,87.9,3.0,1,1927.59
2352.4,40310.0,7,98.0,4.8,3,4147.23
1451.4,35656.0,5,105.1,2.1,3,2227.46
988.8,7504.0,31,176.9,3.5,2,2076.1
1618.9,14578.0,23,103.3,6.4,3,2618.37
1161.9,11783.0,10,117.7,8.0,3,2293.76
1377.7,33682.0,32,67.0,2.6,0,2620.69
2355.4,2282.0,30,99.6,4.4,2,3964.59
983.7,25989.0,39,64.5,6.8,4,2345.3
